A- 	not, without
Catch	by catching the ball before it reaches the ground.
Catch	a contract
Catch	from an infected person.
Catch	acquire
Catch	From another.
Catch	a reach in time and board
Catch	be in time to see etc.
Catch	apprehend with the senses or mind (esp.
Catch	thing occurring quickly or briefly).
Catch	Reproduce faithfully.
Catch	become fixed, entangled, or checked.
Catch	hit, deal a blow to
Catch	draw the attention of; captivate
Catch	0 begin to burn.
Catch	1 reach or overtake
Catch	try to grasp.
Catch	a act of catching.
Catch	cricket etc. Chance or act of catching the ball.
Catch	a amount of a thing caught, esp. Of fish.
Catch	thing or person caught or worth catching, esp. In marriage.
Catch	a question, trick, etc., intended to deceive, incriminate, etc.
Catch	unexpected or hidden difficulty or disadvantage.
Catch	device for fastening a door or window etc.
Catch	Round, esp. With words arranged to produce a humorous effect.
Catch	be punished. Catch on
Catch	become popular.
Catch	understand what is meant. Catch out
Catch	detect in a mistake etc.
Catch	take unawares.
Catch	= sense
Catch	b of
Catch	Catch up
Catch	reach a person etc. Ahead
Catch	make up arrears.
Catch	pick up hurriedly.
Catch	a involve; entangle
Catch	fasten up
Catch-all	(often
Catch-all	) Thing designed to be all-inclusive.
Catch-as-catch-can	Wrestling with few holds barred.
Catching	Infectious.
Catchline	Short line of type, esp. At the head of copy or as a running headline.
Catchment	Collection of rainfall.
Catchment area	area served by a school, hospital, etc.
Catchment area	area from which rainfall flows into a river etc.
Catchpenny	Intended merely to sell quickly; superficially attractive.
Catch-phrase	Phrase in frequent use.
Catch-22	(often
Catch-22	Unresolvable situation containing conflicting or mutually dependent conditions.
Catchweight	Unrestricted as regards weight.
Catchweight	Unrestricted weight category in sports.
Catchword	phrase, word, or slogan in frequent current use.
Catchword	word so placed as to draw attention.
Catchy	easy to remember, attractive.
Catechism	a principles of a religion in the form of questions and answers.
Catechism	book containing this.
Catechism	series of questions.
Catechist	Religious teacher, esp. One using a catechism.
Catechize	instruct by using a catechism.
Catechumen	Christian convert under instruction before baptism.
Categorical	Unconditional, absolute; explicit.
Categorize	place in a category.
Category	class or division
Cater	supply food.
Cater	provide what is needed or desired
Cater	pander to
Caterer	Professional supplier of food for social events.
Caterpillar	larva of a butterfly or moth.
Caterpillar	propr. Steel band passing round the wheels of a tractor etc. For travel on rough ground.
Caterpillar	vehicle with these.
Caterwaul	Make the shrill howl of a cat.
Caterwaul	This noise.
Catfish	freshwater fish with whisker-like barbels round the mouth.
Cat flap	small swinging flap in an outer door, for a cat to pass in and out.
Catgut	Material used for the strings of musical instruments and surgical sutures, made of intestines of the sheep, horse, etc.
Catharsis	emotional release in drama or art.
Catharsis	psychol. Freeing and elimination of repressed emotion.
Catharsis	emptying of the bowels.
Cathartic	effecting catharsis.
Cathartic	laxative.
Cathartic	Laxative.
Cathedral	Principal church of a diocese.
Catherine wheel	Flat coiled firework spinning when lit.
Catheter	Tube inserted into a body cavity for introducing or removing fluid.
Cathode	Electr.
Cathode	negative electrode in an electrolytic cell.
Cathode	positive terminal of a battery etc.
Cathode ray	Beam of electrons from the cathode of a vacuum tube.
Cathode-ray tube	Vacuum tube in which cathode rays produce a luminous image on a fluorescent screen.
Catholic	all-embracing; of wide sympathies or interests.
Catholic	of interest or use to all; universal.
Catholic	a roman catholic.
Catholic	including all christians, or all of the western church.
Catholic	roman catholic.
Catholic	Catholicity
Cation	Positively charged ion.
Catkin	Small spike of usu. Hanging flowers on a willow, hazel, etc.
Catlick	Perfunctory wash.
Catmint	Pungent plant attractive to cats.
Catnap	Short sleep.
Catnap	have a catnap.
Cat-o'-nine-tails	Hist. Whip with nine knotted lashes.
Cat's cradle	Child's game of forming patterns from a loop of string.
Cat's-eye	Propr. Reflector stud set into a road.
Cat's-eye	Precious stone.
Cat's-paw	person used as a tool by another.
Cat's-paw	slight breeze.
Catsuit	Close-fitting garment with trouser legs, covering the whole body.
Cattery	place where cats are boarded or bred.
Cattle	pl. Large ruminant animals with horns and cloven hoofs, esp. Bred for milk or meat.
Cattle-grid	Grid over a ditch, allowing people and vehicles but not livestock to pass over.
Catty	spiteful.
Catty	Cattiness
Catwalk	Narrow footway or platform.
Caucasian	of the white or light-skinned race.
Caucasian	of the caucasus.
Caucasian	Caucasian person.
Caucasoid	Of caucasians.
Caucus	us meeting of party members, esp. In the senate etc., to decide policy.
Caucus	often derog.
Caucus	meeting of a group within a larger organization or party.
Caucus	such a group.
Caudal	of or like a tail.
Caudal	of the posterior part of the body.
Caudate	Tailed.
Caul	membrane enclosing a foetus.
Caul	part of this occasionally found on a child's head at birth.
Cauldron	large deep vessel used for boiling.
Cauliflower	Cabbage with a large white flower-head.
Cauliflower ear	Ear thickened by repeated blows.
Caulk	stop up
Caulk	make (esp.
Caulk	boat) watertight.
Causal	of or forming a cause.
Causal	relating to cause and effect.
Causality	relation of cause and effect.
Causality	principle that everything has a cause.
Causation	act of causing.
Causative	Acting as or expressing a cause.
Cause	a thing that produces an effect.
Cause	person or thing that occasions or produces something.
Cause	reason or motive.
Cause	adequate reason
Cause	principle, belief, or purpose.
Cause	a matter to be settled at law.
Cause	case offered at law
Cause	be the cause of, produce, make happen.
Cause célèbre	lawsuit that attracts much interest.
Causerie	informal article or talk.
Causeway	raised road across low ground or water.
Causeway	raised path by a road.
Caustic	corrosive; burning.
Caustic	sarcastic, biting.
Caustic	Caustic substance.
Caustic	Causticity
Caustic soda	Sodium hydroxide.
Cauterize	burn
Cauterize	, esp. To stop bleeding.
Caution	attention to safety; prudence, carefulness.
Caution	a law warning, esp.
Caution	formal one.
Caution	warning and reprimand.
Caution	Amusing or surprising person or thing.
Caution	warn or admonish.
Caution	issue a caution to.
Cautionary	Giving or serving as a warning.
Cautious	Having or showing caution.
Cautious	Cautiousness
Cavalcade	Procession or assembly of riders, vehicles, etc.
Cavalier	hist.
Cavalier	supporter of charles i in the civil war.
Cavalier	courtly gentleman.
Cavalier	horseman.
Cavalier	Offhand, supercilious, curt.
Cavalry	(usu. Treated as
Cavalry	) Soldiers on horseback or in armoured vehicles.
Cave	Large hollow in the side of a cliff, hill, etc., or underground.
Cave	explore caves.
Cave	subside or collapse.
Cave	yield, give up.
Caveat	warning, proviso.
Caveat	law process in court to suspend proceedings.
Caveat emptor	Principle that the buyer alone is responsible if dissatisfied.
Caveman	prehistoric person living in caves.
Caveman	crude person.
Cavern	Cave, esp.
Cavern	large or dark one.
Caviar	pickled roe of sturgeon or other large fish.
Caviare	pickled roe of sturgeon or other large fish.
Cavil	make petty objections; carp.
Cavil	Petty objection.
Cavity	hollow within a solid body.
Cavity	decayed part of a tooth.
Cavity wall	Double wall with a space between.
Cavort	Caper excitedly.
Cavy	small s. American rodent, esp. The guinea pig.
Caw	Harsh cry of a rook, crow, etc.
Caw	Utter this cry.
Cayenne	powdered red pepper.
Cayman	s. American alligator-like reptile.
Cb	citizens' band.
Cb	companion of the order of the bath.
Cbe	Commander of the order of the british empire.
Cbi	Confederation of british industry.
Cc	cubic centimetre
Cc	copy or copies
Cd	compact disc.
Cd	civil defence.
Cd	corps diplomatique.
Cd	Cadmium.
Cd	Candela.
Cd-rom	Compact disc read-only memory
Cdt	Craft, design, and technology.
Cd-video	system of simultaneously reproducing high-quality sound and video pictures from a compact disc.
Cd-video	such a compact disc.
Ce	Cerium.
Cease-fire	period of truce.
Cease-fire	order to stop firing.
Ceaseless	Without end.
Cecum	blind-ended pouch at the junction of the small and large intestines.
Cedar	spreading evergreen conifer.
Cedar	its hard fragrant wood.
Cede	formal give up one's rights to or possession of.
Cedilla	mark written under c, esp. In french, to show it is sibilant
Cedilla	similar mark under s in turkish etc.
Ceefax	Propr. Teletext service provided by the bbc.
Ceilidh	Informal gathering for music, dancing, etc.
Ceiling	upper interior surface of a room or other compartment.
Ceiling	upper limit.
Ceiling	maximum altitude a given aircraft can reach.
Celandine	Yellow-flowered plant.
Celebrant	Person who performs a rite, esp. The priest at the eucharist.
Celebrate	mark with or engage in festivities.
Celebrate	perform
Celebrate	praise publicly.
Celebrate	Celebrator
Celebrate	Celebratory
Celebrity	well-known person.
Celebrity	fame.
Celeriac	Variety of celery.
Celerity	or literary swiftness.
Celery	Plant with crisp long whitish leaf-stalks used as a vegetable.
Celesta	Small keyboard instrument with steel plates struck to give a bell-like sound.
Celestial	of the sky or heavenly bodies.
Celestial	heavenly; divinely good; sublime.
Celestial equator	The great circle of the sky in the plane perpendicular to the earth's axis.
Celestial sphere	Imaginary sphere, of any radius, of which the observer is the centre and in which celestial bodies are represented as lying.
Celibate	unmarried or committed to sexual abstention, esp. For religious reasons.
Celibate	having no sexual relations.
Celibate	Celibate person.
Cell	small room, esp. In a prison or monastery.
Cell	small compartment, e.g. In a honeycomb.
Cell	small, active, esp. Subversive, political group.
Cell	a smallest structural and functional unit of living matter, consisting of cytoplasm and a nucleus enclosed in a membrane.
Cell	enclosed cavity in an organism etc.
Cell	vessel containing electrodes for current-generation or electrolysis.
Cellar	storage room below ground level in a house.
Cellar	stock of wine in a cellar.
Cellar	Store in a cellar.
Cello	bass instrument of the violin family, held between the legs of the seated player.
Cellophane	Propr. Thin transparent viscose wrapping material.
Cellphone	Small portable radio-telephone.
Cellular	Consisting of cells, of open texture; porous.
Cellular radio	System of mobile radio-telephone transmission with an area divided into ‘cells’, each served by a small transmitter.
Cellulite	Lumpy fat, esp. On the hips and thighs of women.
Celluloid	plastic made from camphor and cellulose nitrate.
Celluloid	cinema film.
Cellulose	carbohydrate forming plant-cell walls, used in textile fibres.
Cellulose	paint or lacquer consisting of esp. Cellulose acetate or nitrate in solution.
Celsius	Of a scale of temperature on which water freezes at
Celsius	° and boils at
Celsius	00°.
Celt	member of an ethnic group, including the inhabitants of ireland, wales, scotland, cornwall, and brittany.
Celtic	Of the celts.
Celtic	Group of celtic languages, including gaelic and irish, welsh, cornish, and breton.
Cement	powdery substance of calcined lime and clay, mixed with water to form mortar or used in concrete.
Cement	similar substance.
Cement	uniting factor or principle.
Cement	substance used in filling teeth, doing hip replacements, etc.
Cement	a unite with or as with cement.
Cement	establish or strengthen
Cement	apply cement to.
Cement	line or cover with cement.
Cemetery	burial ground, esp. One not in a churchyard.
Cenobite	member of a monastica community.
Cenotaph	Tomblike monument to a person whose body is elsewhere.
Cenozoic	Of the most recent geological era, marked by the evolution and development of mammals etc.
Cenozoic	This era.
Censer	Vessel for burning incense.
Censor	Official authorized to suppress or expurgate books, films, news, etc., on grounds of obscenity, threat to security, etc.
Censor	act as a censor of.
Censor	make deletions or changes in.
Censor	Censorship
Censorious	Severely critical.
Censure	criticize harshly; reprove.
Censure	Hostile criticism; disapproval.
Census	official count of population etc.
Cent	a one-hundredth of a dollar or other decimal currency unit.
Cent	coin of this value.
Cent	Very small amount.
Centaur	Creature in greek mythology with the upper half of a man and the lower half of a horse.
Centenarian	Person a hundred or more years old.
Centenarian	hundred or more years old.
Centenary	hundredth anniversary.
Centenary	celebration of this.
Centenary	of a centenary.
Centenary	occurring every hundred years.
Centennial	lasting for a hundred years.
Centennial	occurring every hundred years.
Centennial	Us
Center	middle point.
Center	pivot or axis of rotation.
Center	a place or buildings forming a central point or a main area for an activity
Center	equipment for a number of connected functions
Center	point of concentration or dispersion; nucleus, source.
Center	political party or group holding moderate opinions.
Center	filling in chocolate etc.
Center	sport a middle player in a line in some field games.
Center	kick or hit from the side to the centre of a pitch.
Center	Of or at the centre.
Center	have as its main centre.
Center	place in the centre.
Center	Concentrate.
Centerboard	board lowered through a boat's keel to prevent leeway.
Centerfold	centre spread of a magazine etc., esp. With nude photographs.
Centesimal	Reckoning or reckoned by hundredths.
Centi-	Form
Centi-	one-hundredth.
Centi-	hundred.
Centigrade	having a scale of a hundred degrees.
Centigram	metric unit of mass, equal to
Centiliter	.01 litre.
Centilitre	.01 litre.
Centime	one-hundredth of a franc.
Centime	coin of this value.
Centimeter	.01 metre.
Centimetre	.01 metre.
Centipede	Arthropod with a segmented wormlike body and many legs.
Central	of, at, or forming the centre.
Central	from the centre.
Central	chief, essential, most important.
Central	Centrally
Central bank	National bank issuing currency etc.
Central heating	Method of heating a building by pipes, radiators, etc., fed from a central source.
Centralism	System that centralizes
Centralize	concentrate
Centralize	at a single centre.
Centralize	subject
Centralize	to this system.
Central nervous system	Brain and spinal cord.
Central processor	principal operating part of a computer.
Centre	middle point.
Centre	pivot or axis of rotation.
Centre	a place or buildings forming a central point or a main area for an activity
Centre	equipment for a number of connected functions
Centre	point of concentration or dispersion; nucleus, source.
Centre	political party or group holding moderate opinions.
Centre	filling in chocolate etc.
Centre	sport a middle player in a line in some field games.
Centre	kick or hit from the side to the centre of a pitch.
Centre	Of or at the centre.
Centre	have as its main centre.
Centre	place in the centre.
Centre	Concentrate.
Centre back	Sport middle player or position in a half-back line.
Centreboard	board lowered through a boat's keel to prevent leeway.
Centrefold	centre spread of a magazine etc., esp. With nude photographs.
Centre forward	Sport middle player or position in a forward line.
Centre of gravity	point at which the weight of a body may be considered to act.
Centre-piece	ornament for the middle of a table.
Centre-piece	principal item.
Centre spread	Two facing middle pages of a newspaper etc.
Centric	at or near the centre.
Centric	from a centre.
Centric	Centrically
Centrifugal	Moving or tending to move from a centre.
Centrifugal force	Apparent force that acts outwards on a body moving about a centre.
Centrifuge	Rapidly rotating machine designed to separate liquids from solids etc.
Centripetal	Moving or tending to move towards a centre.
Centripetal force	Force acting on a body causing it to move towards a centre.
Centrist	Polit. Often derog. Person holding moderate views.
Centurion	Commander of a century in the ancient roman army.
Century	00 years.
Century	any century reckoned from the birth of christ (twentieth century =
Century	901–2000; fifth century bc =
Century	00–401 bc).
Century	score etc. Of
Century	00 esp. By one batsman in cricket.
Century	company in the ancient roman army, orig. Of
Century	00 men.
Cephalic	Of or in the head.
Cephalopod	Mollusc with a distinct tentacled head, e.g. The octopus.
Ceramic	made of
Ceramic	Baked clay.
Ceramic	of ceramics.
Ceramic	Ceramic article or product.
Ceramics	ceramic products collectively.
Ceramics	Art of making ceramic articles.
Cereal	a grain used for food.
Cereal	wheat, maize, rye, etc. Producing this.
Cereal	breakfast food made from a cereal.
Cereal	Of edible grain.
Cerebellum	part of the brain at the back of the skull.
Cerebral	of the brain.
Cerebral	intellectual; unemotional.
Cerebral palsy	Paralysis resulting from brain damage before or at birth, involving spasm of the muscles and involuntary movements.
Cerebration	Working of the brain.
Cerebrospinal	Of the brain and spine.
Cerebrum	principal part of the brain in vertebrates, at the front of the skull.
Ceremonial	Of or with ceremony; formal.
Ceremonial	System of rites or ceremonies.
Ceremonious	Fond of or characterized by ceremony; formal.
Ceremony	formal procedure, esp. At a public event or anniversary.
Ceremony	formalities, esp. Ritualistic.
Ceremony	excessively polite behaviour.
Cerise	Light clear red.
Cerium	Silvery metallic element of the lanthanide series.
Cern	European organization for nuclear research.
Cert	a certainty.
Cert.	certificate.
Cert.	certified.
Cern	European organization for nuclear research.
Cert	a certainty.
Cert.	certificate.
Cert.	certified.
Certain	a confident, convinced.
Certain	indisputable
Certain	Sure; destined
Certain	unerring, reliable.
Certain	that need not be specified or may not be known to the reader or hearer
Certain	some but not much
Certain	(as
Certain	) Some but not all
Certainly	undoubtedly.
Certainly	yes; by all means.
Certainty	a undoubted fact.
Certainty	indubitable prospect.
Certainty	absolute conviction.
Certainty	reliable thing or person.
Cert. Ed.	Certificate in education.
Certifiable	able or needing to be certified.
Certifiable	Insane.
Certificate	Formal document attesting a fact, esp. Birth, marriage, or death, a medical condition, or a qualification.
Certificate	(esp. As certificated
Certificate	) Provide with, license, or attest by a certificate.
Certificate of secondary education	Hist. Secondary-school leaving examination in england, wales, and northern ireland.
Certified cheque	Cheque guaranteed by a bank.
Certify	attest; attest to, esp. Formally.
Certify	declare by certificate.
Certify	officially declare insane.
Certitude	Feeling of certainty.
Cerulean	Literary deep sky-blue.
Cervical	Of the neck or the cervix
Cervical screening	Mass routine examination for cervical cancer.
Cervical smear	Specimen from the neck of the womb for examination.
Cervix	necklike structure, esp. The neck of the womb.
Cervix	the neck.
Cesarean	effected by caesarean section.
Cesarean	Caesarean section.
Cesium	soft silver-white element.
Cessation	Ceasing or pause.
Cession	ceding.
Cession	territory etc. Ceded.
Cesspit	covered pit for the temporary storage of liquid waste or sewage.
Cetacean	Marine mammal, e.g. The whale.
Cetacean	Of cetaceans.
Cetane	Liquid hydrocarbon used in standardizing ratings of diesel fuel.
Cf	Californium.
Cf.	Compare.
Cfc	Chlorofluorocarbon, a usu. Gaseous compound of carbon, hydrogen, chlorine, and fluorine, used in refrigerants, aerosol propellants, etc., and thought to harm the ozone layer.
Cfe	College of further education.
Cg	Centigram
Ch	Companion of honour.
Chablis	very dry white wine from chablis in e. France.
Cha-cha	latin-american dance.
Cha-cha	music for this.
Chaconne	musical variations over a ground bass.
Chaconne	dance performed to this.
Chafe	make or become sore or damaged by rubbing.
Chafe	make or become annoyed; fret.
Chafe	rub
Chafe	Sore caused by rubbing.
Chaff	separated husks of corn etc.
Chaff	chopped hay or straw.
Chaff	light-hearted teasing.
Chaff	worthless things.
Chaff	Tease, banter.
Chaffinch	common european finch.
Chafing-dish	Vessel in which food is cooked or kept warm at table.
Chagrin	Acute annoyance or disappointment.
Chagrin	Affect with chagrin.
Chain	a connected flexible series of esp. Metal links.
Chain	thing resembling this.
Chain	(in
Chain	) Fetters; restraining force.
Chain	sequence, series, or set.
Chain	group of associated hotels, shops, etc.
Chain	badge of office in the form of a chain worn round the neck.
Chain	unit of length
Chain	secure or confine with a chain.
Chain-gang	Hist. Team of convicts chained together to work out of doors.
Chain-mail	Armour made of interlaced rings.
Chain reaction	chemical or nuclear reaction forming products which initiate further reactions.
Chain reaction	series of events, each caused by the previous one.
Chain-saw	Motor-driven saw with teeth on an endless chain.
Chain-smoke	Smoke continually, esp. By lighting the next cigarette etc. From the previous one.
Chain store	One of a series of similar shops owned by one firm.
Chair	seat for one person usu. With a back.
Chair	professorship.
Chair	a chairperson.
Chair	seat or office of a chairperson.
Chair	us
Chair	preside over
Chair	carry
Chair	aloft in triumph.
Chair-lift	Series of chairs on a looped cable, for carrying passengers up and down a mountain etc.
Chairman	person chosen to preside over a meeting.
Chairman	permanent president of a committee, board of directors, etc.
Chairperson	Chairman or chairwoman.
Chaise	Esp. Hist. Horse-drawn usu. Open carriage for one or two persons.
Chaise longue	sofa with only one arm rest.
Chalcedony	type of quartz with many varieties, e.g. Onyx.
Chalet	swiss mountain hut or cottage with overhanging eaves.
Chalet	house in a similar style.
Chalet	small cabin in a holiday camp etc.
Chalice	goblet.
Chalice	eucharistic cup.
Chalk	white soft limestone.
Chalk	a similar substance, sometimes coloured, for writing or drawing.
Chalk	piece of this.
Chalk	rub, mark, draw, or write with chalk.
Chalk	a write or record with chalk.
Chalk	register or gain
Chalk	. Chalkiness
Challenge	summons to take part in a contest etc. Or to prove or justify something.
Challenge	demanding or difficult task.
Challenge	objection made to a jury member.
Challenge	call to respond.
Challenge	issue a challenge to.
Challenge	dispute, deny.
Challenge	(as challenging
Challenge	) Stimulatingly difficult.
Challenge	object to
Chalybeate	Impregnated with iron salts.
Chamber	a hall used by a legislative or judicial body.
Chamber	body that meets in it, esp. Any of the houses of a parliament.
Chamber	(in
Chamber	rooms used by a barrister or barristers, esp. In inns of court.
Chamber	judge's room for hearing cases not needing to be taken in court.
Chamber	room, esp.
Chamber	bedroom.
Chamber	Of or for a small group of instruments.
Chamber	cavity or compartment in the body, machinery, etc.
Chamberlain	officer managing a royal or noble household.
Chamberlain	treasurer of a corporation etc.
Chambermaid	Woman who cleans hotel bedrooms.
Chamber of commerce	Association to promote local commercial interests.
Chamber-pot	Receptacle for urine etc., used in the bedroom.
Chameleon	small lizard able to change colour for camouflage.
Chameleon	variable or inconstant person.
Chamfer	Bevel symmetrically
Chamfer	Bevelled surface at an edge or corner.
Chamois	agile european and asian mountain antelope.
Chamois	a soft leather from sheep, goats, deer, etc.
Chamois	piece of this.
Champ1	Munch or chew noisily.
Champ1	Chewing noise.
Champ2	champion.
Champagne	a white sparkling wine from champagne.
Champagne	similar wine from elsewhere.
Champagne	pale cream colour.
Champers	champagne.
Champion	(often
Champion	) Person or thing that has defeated or surpassed all rivals.
Champion	person who fights or argues for a cause or another person.
Champion	Support the cause of, defend.
Champion	Splendid.
Champion	Splendidly.
Championship	(often in
Championship	) Contest to decide the champion in a sport etc.
Championship	position of champion.
Chance	possibility.
Chance	(often in
Chance	) Probability.
Chance	unplanned occurrence.
Chance	opportunity.
Chance	fortune; luck.
Chance	course of events regarded as a power; fate.
Chance	Fortuitous, accidental.
Chance	Risk.
Chance	happen
Chancel	Part of a church near the altar.
Chancellery	chancellor's department, staff, or residence.
Chancellery	us office attached to an embassy or consulate.
Chancellor	state or legal official.
Chancellor	head of government in some european countries.
Chancellor	non-resident honorary head of a university.
Chancellor of the exchequer	Uk finance minister.
Chancery	lord chancellor's division of the high court of justice.
Chancery	records office.
Chancery	chancellery.
Chancy	uncertain; risky.
Chandelier	Ornamental branched hanging support for lighting.
Chandler	Dealer in candles, oil, soap, paint, etc.
Change	a making or becoming different.
Change	alteration or modification.
Change	a money exchanged for money in larger units or a different currency.
Change	money returned as the balance of that given in payment.
Change	new experience; variety
Change	substitution of one thing for another
Change	Menopause.
Change	(usu. In
Change	) One of the different orders in which bells can be rung.
Change	undergo, show, or subject to change; make or become different.
Change	a take or use another instead of; go from one to another
Change	give up or get rid of in exchange
Change	give or get money in exchange for.
Change	put fresh clothes or coverings on.
Change	give and receive, exchange.
Change	change trains etc.
Change	arrive at a fresh phase.
Change	pass to a different owner.
Change	substitute one hand for the other. Change one's mind adopt a different opinion or plan. Change over change from one system or situation to another.
Changeable	inconstant.
Changeable	that can change or be changed.
Changeling	Child believed to be substituted for another.
Change of clothes	Second outfit in reserve.
Change of heart	Conversion to a different view.
Change-over	Change from one system to another.
Channel	a piece of water wider than a strait, joining esp. Two seas.
Channel	the english channel.
Channel	medium of communication; agency.
Channel	band of frequencies used in radio and television transmission, esp. By a particular station.
Channel	course in which anything moves.
Channel	a hollow bed of water.
Channel	navigable part of a waterway.
Channel	passage for liquid.
Channel	lengthwise strip on recording tape etc.
Channel	guide, direct.
Channel	form channel
Channel	in.
Chant	spoken singsong phrase.
Chant	a simple tune used for singing unmetrical words, e.g. Psalms.
Chant	song, esp. Monotonous or repetitive.
Chant	talk or repeat monotonously.
Chant	sing or intone
Chanter	Melody-pipe of bagpipes.
Chanticleer	Name given to a domestic cock in stories.
Chantry	endowment for the singing of masses.
Chantry	priests, chapel, etc., so endowed.
Chaos	utter confusion.
Chaos	formless matter supposed to have existed before the creation of the universe.
Chaos	Chaotically
Chap1	Man, boy, fellow.
Chap2	develop cracks or soreness.
Chap2	Cause to chap.
Chap2	(usu. In
Chap2	) Crack in the skin etc.
Chaparral	Us dense tangled brushwood.
Chapatti	is or chupatties) flat thin cake of unleavened bread.
Chapel	a place for private christian worship in a cathedral or large church, with its own altar.
Chapel	this attached to a private house etc.
Chapel	a place of worship for nonconformists.
Chapel	chapel service.
Chapel	members or branch of a printers' trade union at a place of work.
Chaperon	Person, esp. An older woman, ensuring propriety by accompanying a young unmarried woman on social occasions.
Chaperon	Act as chaperon to.
Chaplain	Member of the clergy attached to a private chapel, institution, ship, regiment, etc.
Chaplet	garland or circlet for the head.
Chaplet	short string of beads; rosary.
Chapman	Hist. Pedlar.
Chapter	main division of a book.
Chapter	period of time
Chapter	a canons of a cathedral or members of a religious community.
Chapter	meeting of these.
Chapter and verse	Exact reference or details.
Chapter of accidents	Series of misfortunes.
Char1	make or become black by burning; scorch.
Char1	burn to charcoal.
Char2	work as a charwoman.
Char3	tea.
Char4	a kind of small trout.
Charabanc	Hist. Early form of motor coach.
Character	collective qualities or characteristics that distinguish a person or thing.
Character	a moral strength.
Character	reputation, esp. Good reputation.
Character	a person in a novel, play, etc.
Character	part played by an actor; role.
Character	Person, esp. An eccentric one.
Character	printed or written letter, symbol, etc.
Character	written description of a person's qualities.
Character	characteristic
Characteristic	Typical, distinctive.
Characteristic	Characteristic feature or quality.
Characterize	a describe the character of.
Characterize	describe as.
Characterize	be characteristic of.
Characterize	impart character to.
Charade	(usu. In
Charade	, treated as sing.) Game of guessing a word from acted clues.
Charade	absurd pretence.
Charcoal	a form of carbon consisting of black residue from partially burnt wood etc.
Charcoal	piece of this for drawing.
Charcoal	a drawing in charcoal.
Charcoal	dark grey.
Charge	a ask
Charge	as a price.
Charge	ask
Charge	for an amount as a price.
Charge	debit the cost of to
Charge	debit
Charge	accuse
Charge	make an accusation that.
Charge	Instruct or urge.
Charge	entrust with.
Charge	make a rushing attack
Charge	a give an electric charge to.
Charge	store energy in
Charge	load or fill
Charge	To the full or proper extent.
Charge	(usu. As charged
Charge	saturated with.
Charge	pervaded
Charge	a price asked for services or goods.
Charge	financial liability or commitment.
Charge	accusation.
Charge	a task, duty, commission.
Charge	care, custody.
Charge	person or thing entrusted.
Charge	a impetuous rush or attack, esp. In battle.
Charge	signal for this.
Charge	appropriate amount of material to be put into a receptacle, mechanism, etc. At one time, esp. Of explosive for a gun.
Charge	a property of matter causing electrical phenomena.
Charge	quantity of this carried by the body.
Charge	energy stored chemically for conversion into electricity.
Charge	exhortation; directions, orders.
Charge	heraldic device or bearing.
Charge-capping	Imposition of an upper limit on the community charge leviable by a local authority.
Chargé d'affaires	ambassador's deputy.
Chargé d'affaires	envoy to a minor country.
Charger	cavalry horse.
Charger	apparatus for charging a battery.
Chariot	Hist. Two-wheeled vehicle drawn by horses, used in ancient warfare and racing.
Charioteer	Chariot-driver.
Charisma	power to inspire or attract others; exceptional charm.
Charisma	divinely conferred power or talent.
Charitable	generous in giving to those in need.
Charitable	of or relating to a charity or charities.
Charitable	generous in judging others.
Charity	giving voluntarily to those in need.
Charity	organization set up to help those in need or for the common good.
Charity	a kindness, benevolence.
Charity	tolerance in judging others.
Charity	love of fellow men.
Charlatan	Person falsely claiming knowledge or skill.
Charleston	lively dance of the
Charleston	920s with side-kicks from the knee.
Charlotte	Pudding of stewed fruit covered with bread etc.
Charm	power or quality of delighting, arousing admiration, or influencing; fascination, attractiveness.
Charm	trinket on a bracelet etc.
Charm	object, act, or word
Charm	supposedly having magic power.
Charm	delight, captivate.
Charm	influence or protect as if by magic
Charm	obtain or gain by charm
Charming	Delightful.
Charnel-house	Repository of corpses or bones.
Chart	geographical map or plan, esp. For navigation.
Chart	sheet of information in the form of a table, graph, or diagram.
Chart	(usu. In
Chart	Listing of the currently best-selling pop records.
Chart	Make a chart of, map.
Charter	a document granting rights, issued esp. By a sovereign or legislature.
Charter	written constitution or description of an organization's functions etc.
Charter	contract to hire an aircraft, ship, etc., for a special purpose.
Charter	grant a charter to.
Charter	hire
Chartered	Qualified member of a professional body that has a royal charter.
Charter flight	Flight by chartered aircraft.
Chartism	Hist. Uk parliamentary reform movement of
Chartism	837–48.
Chartreuse	Pale green or yellow brandy-based liqueur.
Charwoman	Woman employed as a cleaner in a house.
Chary	cautious, wary.
Chary	sparing; ungenerous.
Chase1	run after; pursue.
Chase1	Force to run away or flee.
Chase1	hurry in pursuit of.
Chase1	Act or move about hurriedly.
Chase1	Pursue
Chase1	try to attain.
Chase1	court persistently.
Chase1	pursuit.
Chase1	unenclosed hunting-land.
Chase1	hunting, esp. As a sport.
Chase2	emboss or engrave
Chaser	horse for steeplechasing.
Chaser	Drink taken after another of a different kind.
Chasm	deep cleft or opening in the earth, rock, etc.
Chasm	wide difference of feeling, interests, etc.
Chassis	base-frame of a motor vehicle, carriage, etc.
Chassis	frame to carry radio etc. Components.
Chaste	abstaining from extramarital, or from all, sexual intercourse.
Chaste	pure, virtuous.
Chaste	simple, unadorned.
Chaste	Chasteness
Chasten	Subdue, restrain.
Chasten	discipline, punish.
Chastise	rebuke severely.
Chastise	punish, esp. By beating.
Chastity	Being chaste.
